architecture_type,deployment_type,communication_type,num_services,num_databases,requests_per_second,avg_payload_kb,read_write_ratio,peak_traffic_multiplier,cpu_utilization_percent,memory_utilization_percent,network_latency_ms,packet_loss_percent,avg_latency_ms,p95_latency_ms,error_rate_percent,db_connection_pool_exhausted,retry_storm_detected,circuit_breaker_open
hybrid,cloud,async,20,1,170.8,124.65,0.62,2.76,18.11,97.52,2.46,0.8,177.67,321.57,2.31,0,0,0
serverless,cloud,async,12,1,39.35,131.86,0.77,3.0,0.0,100.0,7.71,0.22,180.78,280.86,0.61,0,0,0
microservices,hybrid,sync,18,1,219.84,12.86,0.66,2.95,19.21,10.99,21.61,0.0,180.42,233.61,0.48,0,0,0
event_driven,hybrid,mixed,20,1,493.71,50.2,0.51,1.69,40.22,40.64,63.42,0.44,324.56,520.07,2.74,0,0,0
event_driven,hybrid,async,42,3,189.59,7.21,0.93,1.12,24.04,2.03,4.84,1.02,100.18,202.28,2.89,0,0,0
event_driven,on_prem,async,25,1,160.57,108.44,0.69,3.37,7.71,100.0,3.73,0.72,152.25,267.25,1.66,0,0,0
serverless,hybrid,sync,28,1,195.22,46.27,0.92,1.75,16.33,26.13,29.0,0.08,178.15,286.43,0.59,0,0,0
serverless,hybrid,mixed,48,2,62.38,122.47,0.43,2.66,5.17,85.64,10.63,0.51,177.22,255.26,1.47,0,0,0
monolith,cloud,sync,3,1,61.61,44.39,0.41,3.51,1.33,32.04,121.38,0.08,181.18,355.61,22.65,0,1,0
microservices,hybrid,mixed,30,2,237.89,98.41,0.55,3.83,19.55,83.14,75.87,1.11,452.94,690.2,3.39,0,0,0
microservices,hybrid,async,45,2,54.22,58.34,0.52,2.38,0.39,55.16,22.24,0.49,196.0,391.74,1.27,0,0,0
event_driven,on_prem,async,9,1,130.73,46.79,0.7,2.88,0.75,34.49,42.43,0.0,208.56,315.75,0.0,0,0,0
hybrid,cloud,sync,54,3,72.9,85.14,0.8,1.54,9.49,74.18,9.67,1.31,183.46,229.84,3.26,0,0,0
serverless,cloud,mixed,27,1,230.74,36.3,0.58,2.43,31.28,32.2,5.54,0.16,155.57,214.47,1.82,0,0,0
microservices,cloud,mixed,32,1,95.49,105.85,0.87,2.05,14.0,88.87,4.62,0.6,166.26,311.45,1.82,0,0,0
hybrid,cloud,sync,55,3,158.01,14.66,0.58,1.82,13.35,16.7,12.99,0.05,160.37,304.56,0.34,0,0,0
hybrid,cloud,sync,59,2,196.95,36.33,0.92,1.32,20.32,31.67,13.95,0.52,183.77,265.86,1.74,0,0,0
event_driven,on_prem,async,57,4,274.05,102.38,0.54,3.8,24.77,89.72,2.49,0.13,159.57,209.72,0.97,0,0,0
monolith,cloud,async,2,1,162.9,45.62,0.74,3.71,21.04,36.8,0.4,0.68,84.09,164.07,1.63,0,0,0
event_driven,hybrid,async,41,2,142.33,12.34,0.67,3.01,4.31,11.97,25.55,0.19,145.21,260.51,0.44,0,0,0
event_driven,on_prem,async,43,3,9.25,22.72,0.53,1.92,12.28,26.52,2.15,0.43,92.19,164.9,1.1,0,0,0
